sentence,label
"
++ Thank you for attaching the tech support file.",True
"
- Download 10.0.11-[US_DRIVER_LICENSE] ----> Update last dynamic updates ----> Reboot
- Download 10.1.0
- Download 10.1.8-[US_DRIVER_LICENSE] - Update last dynamic updates
- Upgrade 10.1.8-[US_DRIVER_LICENSE] ---> Reboot.",True
"
Again many thanks for the excellent support!",False
"
Also, thank you for pointing to the platformUrl parameter requirement.",True
"
An: [PERSON] 
Betreff: A new comment has been added on a case [Case#: [US_DRIVER_LICENSE]_NUMBER]UMBER]] - config export does not work anymore - [ ref:[IN_PAN]._5004u2tlme6:ref ]",True
"
Anyway, it’s all working fine so thank you for your help!",True
"
Apparently Levent had to join an urgent meeting and he is kind of running late.",True
"
Appreciate your support thanks",True
"
Brilliant, thank you for your assistance with this.",True
"
But as they have critical [US_DRIVER_LICENSE] we are not getting any downtime for [DATE_TIME].",True
"
But the MID which you mentionede is not useful for us.",True
"
Can you help me understand what makes the EAC permission available and how many?",True
"
Case Number: [US_DRIVER_LICENSE]_NUMBER]
User: [PERSON]
User Email: [URL]DRESS]ue Resolved Without Any Intervention
Additional Reason:
We have it covered internally thank you for your help",False
"
Certificate in [LOCATION] article did not work but was able to id a different cert (GoDaddy) that when installed allowed installation to complete.",True
"
Comments : Thanks for your help on the call [PERSON]",True
"
Great Thank you that worked",True
"
Great information. I'll get this passed along immediately,",True
"
I also wanted to take a moment and comment on your excellent handling of our case. Your responses have been timely and thoroughly detailed, which has helped a great deal. Much appreciated!",True
"
I am still waiting for information from Customer.",True
"
I am still waiting the  customer's feedback
I  will update the case asap",True
"
I appreciate the help",True
"
I appreciate you finding time [DATE_TIME] and hopping on the call with Stericycle.",True
"
I appreciate your help!",True
"
I made you the case owner so you can get the update notification and added [PERSON] as a collaborator.",True
"
I suggest scheduling a troubleshooting/information session for [DATE_TIME] at 11AM CET Paris Time with the customer.",True
"
I wanted to reiterate a huge thank you for helping us with urgency around this Fast and Easy POV with LiveNation.",True
"
I'm still waiting for the customer to confirm the below query",True
"
In the meantime, I contacted our customer and I want you to set this case on pending customer until we will have a full installation for customer, thank you again for your patient and help on this case",False
"
Issue got resolved now, Thank you very much for your support!",True
"
Issue is not resolved.",True
"
Issue is still not resolved.",True
"
It's at [DATE_TIME] like mentionned before 
I will provide the request logs , thank you  for your support",False
